location,temp_c,humidity,pressure_mb,windspeed_kph,pm2_5,pm10,co,no2,hour,day,month,day_of_week,aqi_index
Anand Vihar,8.1,100,995.4,2.9,185.8,188.6,1907,56.7,0,1,1,2,197
Anand Vihar,7.7,100,994.7,3.2,174.6,177.4,1669,44.8,1,1,1,2,198
Anand Vihar,7.5,100,994.3,4.5,164.4,166.7,1493,34.6,2,1,1,2,199
Anand Vihar,7.8,99,994.1,6.0,156.5,158.8,1401,26.7,3,1,1,2,200
Anand Vihar,7.3,100,993.8,6.8,149.5,151.8,1372,20.6,4,1,1,2,200
Anand Vihar,7.6,99,993.9,7.3,156.5,158.3,1387,33.3,5,1,1,2,201
Anand Vihar,8.1,99,994.7,4.8,144.4,146.2,1486,31.4,6,1,1,2,201
Anand Vihar,8.0,99,995.2,4.0,138.3,140.6,1629,28.7,7,1,1,2,201
Anand Vihar,8.4,99,995.7,6.5,136.4,138.8,1683,26.0,8,1,1,2,200
Anand Vihar,9.4,97,996.3,8.0,141.1,143.0,1556,23.3,9,1,1,2,200
Anand Vihar,11.3,89,996.3,8.8,129.9,132.2,1338,20.5,10,1,1,2,200
Anand Vihar,13.1,81,995.9,8.1,122.5,125.3,1169,18.2,11,1,1,2,200
Anand Vihar,14.6,77,994.7,6.3,115.5,118.3,1079,15.4,12,1,1,2,200
Anand Vihar,15.8,73,993.5,6.2,108.7,111.8,1037,13.1,13,1,1,2,200
Anand Vihar,16.5,72,992.6,6.3,103.6,106.6,1085,14.1,14,1,1,2,201
Anand Vihar,16.9,70,992.3,6.9,99.4,102.7,1291,21.0,15,1,1,2,201
Anand Vihar,16.5,72,992.2,6.0,100.4,102.9,1586,31.3,16,1,1,2,201
Anand Vihar,14.9,80,992.2,4.7,148.5,151.8,1813,52.6,17,1,1,2,202
Anand Vihar,12.2,88,994.1,2.8,157.4,160.7,1910,55.0,18,1,1,2,202
Anand Vihar,11.4,90,994.4,3.6,162.1,165.3,1939,58.0,19,1,1,2,201
Anand Vihar,10.9,92,994.7,4.0,167.6,170.4,1917,58.6,20,1,1,2,200
Anand Vihar,10.4,93,994.9,4.4,171.8,174.6,1833,55.1,21,1,1,2,199
Anand Vihar,10.1,94,994.6,4.8,175.1,178.3,1699,49.2,22,1,1,2,198
Anand Vihar,9.6,96,994.2,5.4,174.2,177.0,1573,42.6,23,1,1,2,198
Connaught Place,8.2,100,993.8,1.8,185.8,188.6,1645,56.7,0,1,1,2,197
Connaught Place,7.8,99,993.2,2.5,174.6,177.4,1551,44.8,1,1,1,2,198
Connaught Place,7.6,99,992.8,3.9,164.4,166.7,1478,34.6,2,1,1,2,199
Connaught Place,7.8,98,992.6,5.3,156.5,158.8,1418,26.7,3,1,1,2,200
Connaught Place,7.6,98,992.4,5.9,149.5,151.8,1379,20.6,4,1,1,2,200
Connaught Place,7.9,98,992.5,6.7,156.5,158.3,1377,33.3,5,1,1,2,201
Connaught Place,8.1,97,993.2,3.7,144.4,146.2,1458,31.4,6,1,1,2,201
Connaught Place,8.1,96,993.6,4.0,138.3,140.6,1577,28.7,7,1,1,2,201
Connaught Place,8.6,96,994.2,5.9,136.4,138.8,1615,26.0,8,1,1,2,200
Connaught Place,9.3,96,994.7,8.1,141.1,143.0,1494,23.3,9,1,1,2,200
Connaught Place,11.0,90,994.9,8.5,129.9,132.2,1294,20.5,10,1,1,2,200
Connaught Place,13.1,81,994.5,8.6,122.5,125.3,1131,18.2,11,1,1,2,200
Connaught Place,14.7,77,993.2,6.2,115.5,118.3,1034,15.4,12,1,1,2,200
Connaught Place,15.9,73,992.1,6.2,108.7,111.8,974,13.1,13,1,1,2,200
Connaught Place,16.7,71,991.2,6.5,103.6,106.6,992,14.1,14,1,1,2,201
Connaught Place,17.0,69,990.9,7.4,99.4,102.7,1143,21.0,15,1,1,2,201
Connaught Place,16.5,72,990.8,6.5,100.4,102.9,1370,31.3,16,1,1,2,201
Connaught Place,14.8,80,990.8,5.2,148.5,151.8,1543,52.6,17,1,1,2,202
Connaught Place,12.4,86,992.5,2.3,157.4,160.7,1605,55.0,18,1,1,2,202
Connaught Place,11.6,89,992.9,3.2,162.1,165.3,1613,58.0,19,1,1,2,201
Connaught Place,11.1,90,993.2,3.1,167.6,170.4,1603,58.6,20,1,1,2,200
Connaught Place,10.3,93,993.3,3.7,171.8,174.6,1587,55.1,21,1,1,2,199
Connaught Place,9.6,95,993.1,4.3,175.1,178.3,1553,49.2,22,1,1,2,198
Connaught Place,9.1,96,992.7,4.6,174.2,177.0,1504,42.6,23,1,1,2,198
Dwarka,8.0,100,994.4,2.8,193.7,197.0,1724,74.2,0,1,1,2,197
Dwarka,7.8,100,993.9,3.0,180.7,183.9,1585,58.6,1,1,1,2,198
Dwarka,7.2,100,993.4,3.8,167.6,170.4,1470,45.0,2,1,1,2,199
Dwarka,7.0,100,993.2,4.7,153.2,156.0,1387,33.8,3,1,1,2,201
Dwarka,7.0,99,993.0,5.6,141.6,144.4,1327,24.6,4,1,1,2,202
Dwarka,7.3,99,993.1,6.5,168.1,170.0,1288,46.3,5,1,1,2,203
Dwarka,7.7,96,993.9,3.3,152.7,155.1,1286,42.2,6,1,1,2,204
Dwarka,7.9,96,994.4,4.8,145.8,148.1,1306,36.3,7,1,1,2,204
Dwarka,8.4,92,994.9,5.9,136.0,138.8,1293,31.2,8,1,1,2,203
Dwarka,9.1,96,995.5,8.7,133.6,136.0,1217,27.7,9,1,1,2,202
Dwarka,10.6,92,995.6,9.0,128.1,130.9,1108,24.9,10,1,1,2,202
Dwarka,12.9,81,995.1,9.0,120.6,123.9,1011,22.2,11,1,1,2,203
Dwarka,14.6,77,993.9,6.8,112.2,115.3,924,18.2,12,1,1,2,204
Dwarka,15.9,73,992.8,6.8,103.8,107.1,848,14.4,13,1,1,2,204
Dwarka,16.6,70,991.8,7.3,96.2,99.4,830,14.8,14,1,1,2,205
Dwarka,16.8,70,991.6,8.0,92.4,95.5,908,22.5,15,1,1,2,205
Dwarka,16.2,72,991.5,7.1,93.4,95.9,1044,34.3,16,1,1,2,205
Dwarka,14.5,80,991.6,6.3,149.0,152.7,1169,61.5,17,1,1,2,205
Dwarka,12.1,86,993.1,3.3,162.5,165.8,1264,64.2,18,1,1,2,205
Dwarka,11.4,89,993.4,4.6,165.8,169.0,1349,67.7,19,1,1,2,204
Dwarka,10.6,91,993.9,4.6,167.6,170.4,1416,68.6,20,1,1,2,202
Dwarka,10.2,93,994.0,5.0,168.6,171.8,1468,65.4,21,1,1,2,200
Dwarka,9.9,94,993.7,5.4,170.9,174.2,1503,59.7,22,1,1,2,199
Dwarka,9.6,95,993.4,6.0,170.4,173.2,1505,52.6,23,1,1,2,198
Okhla Phase III,8.6,100,992.4,4.1,193.7,197.0,1645,74.2,0,1,1,2,197
Okhla Phase III,8.2,100,991.7,4.4,180.7,183.9,1456,58.6,1,1,1,2,198
Okhla Phase III,7.7,100,991.2,5.1,167.6,170.4,1324,45.0,2,1,1,2,199
Okhla Phase III,7.5,100,991.0,7.1,153.2,156.0,1268,33.8,3,1,1,2,201
Okhla Phase III,7.4,100,990.8,8.5,141.6,144.4,1269,24.6,4,1,1,2,202
Okhla Phase III,7.3,100,990.8,9.0,168.1,170.0,1297,46.3,5,1,1,2,203
Okhla Phase III,8.4,100,991.8,5.2,152.7,155.1,1372,42.2,6,1,1,2,204
Okhla Phase III,8.4,100,992.2,5.2,145.8,148.1,1474,36.3,7,1,1,2,204
Okhla Phase III,8.8,98,992.7,8.1,136.0,138.8,1515,31.2,8,1,1,2,203
Okhla Phase III,9.7,95,993.2,9.3,133.6,136.0,1440,27.7,9,1,1,2,202
Okhla Phase III,12.1,84,993.4,9.4,128.1,130.9,1305,24.9,10,1,1,2,202
Okhla Phase III,13.6,80,993.0,7.8,120.6,123.9,1188,22.2,11,1,1,2,203
Okhla Phase III,14.9,75,991.8,7.2,112.2,115.3,1093,18.2,12,1,1,2,204
Okhla Phase III,16.0,72,990.7,6.2,103.8,107.1,1017,14.4,13,1,1,2,204
Okhla Phase III,16.8,69,989.8,6.6,96.2,99.4,1022,14.8,14,1,1,2,205
Okhla Phase III,17.0,69,989.5,7.0,92.4,95.5,1177,22.5,15,1,1,2,205
Okhla Phase III,16.5,72,989.4,6.7,93.4,95.9,1413,34.3,16,1,1,2,205
Okhla Phase III,14.9,80,989.4,5.6,149.0,152.7,1595,61.5,17,1,1,2,205
Okhla Phase III,12.1,88,991.1,3.6,162.5,165.8,1666,64.2,18,1,1,2,205
Okhla Phase III,11.5,90,991.3,4.2,165.8,169.0,1683,67.7,19,1,1,2,204
Okhla Phase III,11.2,91,991.8,4.5,167.6,170.4,1673,68.6,20,1,1,2,202
Okhla Phase III,11.1,91,991.9,5.8,168.6,171.8,1642,65.4,21,1,1,2,200
Okhla Phase III,10.8,92,991.6,6.6,170.9,174.2,1586,59.7,22,1,1,2,199
Okhla Phase III,10.4,93,991.3,7.1,170.4,173.2,1519,52.6,23,1,1,2,198
Rohini,7.4,100,993.3,3.6,185.8,188.6,1887,56.7,0,1,1,2,197
Rohini,7.3,100,992.8,3.3,174.6,177.4,1707,44.8,1,1,1,2,198
Rohini,7.0,99,992.3,4.1,164.4,166.7,1562,34.6,2,1,1,2,199
Rohini,7.2,99,992.1,5.2,156.5,158.8,1470,26.7,3,1,1,2,200
Rohini,6.9,100,991.8,6.1,149.5,151.8,1413,20.6,4,1,1,2,200
Rohini,7.2,99,991.9,6.7,156.5,158.3,1385,33.3,5,1,1,2,201
Rohini,7.2,100,992.7,4.5,144.4,146.2,1414,31.4,6,1,1,2,201
Rohini,7.1,100,993.0,5.2,138.3,140.6,1472,28.7,7,1,1,2,201
Rohini,7.8,100,993.7,6.8,136.4,138.8,1473,26.0,8,1,1,2,200
Rohini,8.8,97,994.3,8.6,141.1,143.0,1357,23.3,9,1,1,2,200
Rohini,10.8,89,994.5,9.1,129.9,132.2,1184,20.5,10,1,1,2,200
Rohini,13.2,81,994.0,8.2,122.5,125.3,1045,18.2,11,1,1,2,200
Rohini,15.1,75,992.8,7.0,115.5,118.3,959,15.4,12,1,1,2,200
Rohini,16.2,71,991.5,7.2,108.7,111.8,907,13.1,13,1,1,2,200
Rohini,17.0,68,990.7,7.8,103.6,106.6,920,14.1,14,1,1,2,201
Rohini,17.0,67,990.4,8.3,99.4,102.7,1040,21.0,15,1,1,2,201
Rohini,16.5,71,990.4,7.0,100.4,102.9,1224,31.3,16,1,1,2,201
Rohini,14.8,79,990.4,6.3,148.5,151.8,1378,52.6,17,1,1,2,202
Rohini,11.8,87,992.0,3.4,157.4,160.7,1471,55.0,18,1,1,2,202
Rohini,10.6,92,992.4,4.3,162.1,165.3,1534,58.0,19,1,1,2,201
Rohini,9.9,94,992.7,4.6,167.6,170.4,1562,58.6,20,1,1,2,200
Rohini,9.4,95,992.9,4.8,171.8,174.6,1544,55.1,21,1,1,2,199
Rohini,9.1,97,992.5,5.0,175.1,178.3,1491,49.2,22,1,1,2,198
Rohini,8.9,97,992.2,5.6,174.2,177.0,1434,42.6,23,1,1,2,198
IGI Airport,8.0,100,991.6,2.8,193.7,197.0,1688,74.2,0,1,1,2,197
IGI Airport,7.8,100,991.1,3.0,180.7,183.9,1594,58.6,1,1,1,2,198
IGI Airport,7.2,100,990.7,3.8,167.6,170.4,1512,45.0,2,1,1,2,199
IGI Airport,7.0,100,990.5,4.7,153.2,156.0,1439,33.8,3,1,1,2,201
IGI Airport,7.0,99,990.3,5.6,141.6,144.4,1378,24.6,4,1,1,2,202
IGI Airport,7.3,99,990.3,6.5,168.1,170.0,1348,46.3,5,1,1,2,203
IGI Airport,7.7,96,991.1,3.3,152.7,155.1,1386,42.2,6,1,1,2,204
IGI Airport,7.9,96,991.6,4.8,145.8,148.1,1455,36.3,7,1,1,2,204
IGI Airport,8.4,92,992.2,5.9,136.0,138.8,1467,31.2,8,1,1,2,203
IGI Airport,9.1,96,992.7,8.7,133.6,136.0,1364,27.7,9,1,1,2,202
IGI Airport,10.6,92,992.9,9.0,128.1,130.9,1203,24.9,10,1,1,2,202
IGI Airport,12.9,81,992.4,9.0,120.6,123.9,1068,22.2,11,1,1,2,203
IGI Airport,14.6,77,991.2,6.8,112.2,115.3,973,18.2,12,1,1,2,204
IGI Airport,15.9,73,990.1,6.8,103.8,107.1,904,14.4,13,1,1,2,204
IGI Airport,16.6,70,989.2,7.3,96.2,99.4,906,14.8,14,1,1,2,205
IGI Airport,16.8,70,988.9,8.0,92.4,95.5,1031,22.5,15,1,1,2,205
IGI Airport,16.2,72,988.8,7.1,93.4,95.9,1226,34.3,16,1,1,2,205
IGI Airport,14.5,80,988.9,6.3,149.0,152.7,1380,61.5,17,1,1,2,205
IGI Airport,12.1,86,990.4,3.3,162.5,165.8,1443,64.2,18,1,1,2,205
IGI Airport,11.4,89,990.7,4.6,165.8,169.0,1464,67.7,19,1,1,2,204
IGI Airport,10.6,91,991.1,4.6,167.6,170.4,1476,68.6,20,1,1,2,202
IGI Airport,10.2,93,991.3,5.0,168.6,171.8,1495,65.4,21,1,1,2,200
IGI Airport,9.9,94,991.0,5.4,170.9,174.2,1504,59.7,22,1,1,2,199
IGI Airport,9.6,95,990.6,6.0,170.4,173.2,1488,52.6,23,1,1,2,198
Anand Vihar,9.3,96,993.5,5.9,167.6,170.4,1469,35.3,0,1,2,5,197
Anand Vihar,8.9,97,992.8,5.3,163.0,165.8,1373,27.3,1,1,2,5,197
Anand Vihar,8.7,97,992.5,6.2,157.9,160.7,1306,21.0,2,1,2,5,197
Anand Vihar,8.4,98,992.4,7.3,151.8,154.6,1263,17.0,3,1,2,5,196
Anand Vihar,8.4,98,992.2,7.8,146.7,149.5,1248,14.6,4,1,2,5,196
Anand Vihar,8.8,98,992.5,8.9,147.1,149.9,1298,15.3,5,1,2,5,196
Anand Vihar,8.6,98,993.4,7.8,143.4,146.7,1479,19.6,6,1,2,5,196
Anand Vihar,8.5,98,993.7,7.6,146.7,150.4,1725,25.4,7,1,2,5,196
Anand Vihar,9.7,95,994.6,9.0,148.1,151.8,1865,28.4,8,1,2,5,196
Anand Vihar,11.6,90,995.5,6.3,149.5,152.7,1804,26.2,9,1,2,5,196
Anand Vihar,13.4,83,995.7,5.5,139.2,143.9,1638,21.2,10,1,2,5,197
Anand Vihar,15.1,77,995.2,5.4,129.5,134.6,1488,17.0,11,1,2,5,197
Anand Vihar,16.5,73,994.3,6.0,118.5,123.9,1358,13.7,12,1,2,5,197
Anand Vihar,17.6,69,993.4,6.7,107.1,112.9,1244,11.2,13,1,2,5,197
Anand Vihar,18.3,66,992.7,7.6,100.4,105.7,1253,12.5,14,1,2,5,197
Anand Vihar,18.4,66,992.6,7.9,97.8,102.4,1486,20.6,15,1,2,5,197
Anand Vihar,17.9,71,992.7,5.7,100.8,104.3,1842,32.6,16,1,2,5,197
Anand Vihar,16.0,79,992.5,4.4,131.3,136.4,2121,50.7,17,1,2,5,197
Anand Vihar,13.6,83,993.6,4.4,144.4,148.5,2239,55.9,18,1,2,5,197
Anand Vihar,13.2,84,993.7,4.7,155.5,159.7,2280,63.1,19,1,2,5,196
Anand Vihar,12.4,86,993.9,4.7,169.0,173.2,2292,68.0,20,1,2,5,196
Anand Vihar,11.9,88,994.1,3.8,182.5,187.2,2293,68.9,21,1,2,5,196
Anand Vihar,11.2,90,994.4,3.0,194.6,198.8,2266,67.6,22,1,2,5,196
Anand Vihar,10.5,93,993.9,2.7,196.5,200.2,2206,64.7,23,1,2,5,197
Connaught Place,8.9,96,991.9,4.7,167.6,170.4,1427,35.3,0,1,2,5,197
Connaught Place,8.6,97,991.3,4.6,163.0,165.8,1335,27.3,1,1,2,5,197
Connaught Place,8.4,97,991.0,5.4,157.9,160.7,1271,21.0,2,1,2,5,197
Connaught Place,8.5,97,990.9,7.0,151.8,154.6,1242,17.0,3,1,2,5,196
Connaught Place,8.3,97,990.7,7.8,146.7,149.5,1241,14.6,4,1,2,5,196
Connaught Place,8.6,98,991.0,9.1,147.1,149.9,1288,15.3,5,1,2,5,196
Connaught Place,8.4,98,991.9,7.5,143.4,146.7,1433,19.6,6,1,2,5,196
Connaught Place,8.4,97,992.3,7.0,146.7,150.4,1625,25.4,7,1,2,5,196
Connaught Place,9.8,93,993.2,9.6,148.1,151.8,1732,28.4,8,1,2,5,196
Connaught Place,11.5,90,994.0,6.6,149.5,152.7,1677,26.2,9,1,2,5,196
Connaught Place,13.3,84,994.3,5.6,139.2,143.9,1535,21.2,10,1,2,5,197
Connaught Place,15.1,78,993.8,5.5,129.5,134.6,1404,17.0,11,1,2,5,197
Connaught Place,16.5,72,992.9,6.4,118.5,123.9,1283,13.7,12,1,2,5,197
Connaught Place,17.6,68,992.0,7.0,107.1,112.9,1173,11.2,13,1,2,5,197
Connaught Place,18.2,65,991.3,7.6,100.4,105.7,1165,12.5,14,1,2,5,197
Connaught Place,18.3,65,991.2,7.9,97.8,102.4,1344,20.6,15,1,2,5,197
Connaught Place,17.8,70,991.3,5.4,100.8,104.3,1626,32.6,16,1,2,5,197
Connaught Place,15.8,79,991.1,4.6,131.3,136.4,1855,50.7,17,1,2,5,197
Connaught Place,13.7,81,992.2,3.1,144.4,148.5,1969,55.9,18,1,2,5,197
Connaught Place,13.1,83,992.1,3.2,155.5,159.7,2030,63.1,19,1,2,5,196
Connaught Place,12.5,85,992.5,3.0,169.0,173.2,2061,68.0,20,1,2,5,196
Connaught Place,11.8,88,992.7,2.9,182.5,187.2,2070,68.9,21,1,2,5,196
Connaught Place,10.9,91,992.8,3.5,194.6,198.8,2051,67.6,22,1,2,5,196
Connaught Place,10.1,94,992.3,2.9,196.5,200.2,2006,64.7,23,1,2,5,197
Dwarka,9.1,96,992.6,5.6,162.5,165.3,1451,43.5,0,1,2,5,197
Dwarka,7.8,98,991.9,4.9,154.6,157.9,1364,33.1,1,1,2,5,196
Dwarka,7.8,98,991.6,5.7,147.1,150.4,1298,24.6,2,1,2,5,196
Dwarka,7.9,99,991.6,7.2,139.7,142.5,1265,18.8,3,1,2,5,195
Dwarka,8.0,99,991.5,8.7,132.7,136.0,1253,14.9,4,1,2,5,195
Dwarka,8.3,98,991.7,9.6,135.0,138.3,1279,15.4,5,1,2,5,195
Dwarka,8.2,99,992.5,7.6,131.3,135.0,1389,20.7,6,1,2,5,194
Dwarka,8.2,98,993.0,7.4,138.8,142.5,1538,27.7,7,1,2,5,194
Dwarka,9.4,96,993.9,9.4,143.4,147.6,1608,31.6,8,1,2,5,193
Dwarka,11.2,92,994.7,7.0,146.2,149.9,1528,29.3,9,1,2,5,194
Dwarka,13.2,84,995.0,6.5,136.0,141.1,1369,23.9,10,1,2,5,194
Dwarka,15.0,77,994.5,6.9,126.2,131.8,1229,19.1,11,1,2,5,194
Dwarka,16.5,71,993.7,8.1,114.3,120.6,1124,15.0,12,1,2,5,194
Dwarka,17.6,65,992.8,8.6,103.1,109.4,1038,11.6,13,1,2,5,194
Dwarka,18.1,64,992.1,9.0,95.2,100.6,1021,12.9,14,1,2,5,194
Dwarka,18.2,64,991.9,8.8,92.7,97.1,1112,22.2,15,1,2,5,194
Dwarka,17.5,69,991.9,6.0,97.1,100.4,1273,36.1,16,1,2,5,194
Dwarka,15.7,78,991.8,5.2,138.8,144.4,1434,61.1,17,1,2,5,194
Dwarka,13.6,80,992.7,5.2,154.6,159.7,1583,70.8,18,1,2,5,194
Dwarka,13.1,83,992.8,5.2,168.6,173.2,1733,84.2,19,1,2,5,194
Dwarka,12.2,86,993.0,3.8,182.5,186.7,1857,93.2,20,1,2,5,194
Dwarka,11.3,89,993.3,3.8,196.0,200.2,1955,94.8,21,1,2,5,194
Dwarka,10.3,93,993.4,4.0,205.4,209.5,2027,92.1,22,1,2,5,195
Dwarka,9.5,94,993.0,4.1,202.1,206.3,2045,86.8,23,1,2,5,196
Okhla Phase III,9.9,94,990.6,7.0,162.5,165.3,1435,43.5,0,1,2,5,197
Okhla Phase III,9.1,96,989.8,5.3,154.6,157.9,1341,33.1,1,1,2,5,196
Okhla Phase III,9.1,96,989.5,7.2,147.1,150.4,1274,24.6,2,1,2,5,196
Okhla Phase III,8.8,97,989.5,8.9,139.7,142.5,1237,18.8,3,1,2,5,195
Okhla Phase III,8.6,98,989.3,9.4,132.7,136.0,1226,14.9,4,1,2,5,195
Okhla Phase III,8.8,97,989.5,10.4,135.0,138.3,1267,15.4,5,1,2,5,195
Okhla Phase III,9.1,97,990.4,9.4,131.3,135.0,1415,20.7,6,1,2,5,194
Okhla Phase III,9.1,96,990.7,10.0,138.8,142.5,1615,27.7,7,1,2,5,194
Okhla Phase III,10.1,93,991.7,9.7,143.4,147.6,1730,31.6,8,1,2,5,193
Okhla Phase III,11.8,89,992.5,7.5,146.2,149.9,1685,29.3,9,1,2,5,194
Okhla Phase III,13.9,80,992.8,7.1,136.0,141.1,1554,23.9,10,1,2,5,194
Okhla Phase III,15.7,72,992.3,7.0,126.2,131.8,1424,19.1,11,1,2,5,194
Okhla Phase III,17.0,67,991.5,7.3,114.3,120.6,1287,15.0,12,1,2,5,194
Okhla Phase III,18.0,64,990.7,7.9,103.1,109.4,1150,11.6,13,1,2,5,194
Okhla Phase III,18.5,61,989.9,8.4,95.2,100.6,1126,12.9,14,1,2,5,194
Okhla Phase III,18.5,61,989.7,8.5,92.7,97.1,1305,22.2,15,1,2,5,194
Okhla Phase III,17.9,67,989.9,6.9,97.1,100.4,1596,36.1,16,1,2,5,194
Okhla Phase III,16.0,76,989.7,5.8,138.8,144.4,1841,61.1,17,1,2,5,194
Okhla Phase III,13.6,83,990.6,5.1,154.6,159.7,1989,70.8,18,1,2,5,194
Okhla Phase III,13.5,83,990.7,5.7,168.6,173.2,2091,84.2,19,1,2,5,194
Okhla Phase III,12.8,84,991.1,5.0,182.5,186.7,2142,93.2,20,1,2,5,194
Okhla Phase III,11.9,86,991.3,4.2,196.0,200.2,2133,94.8,21,1,2,5,194
Okhla Phase III,11.2,90,991.5,4.1,205.4,209.5,2074,92.1,22,1,2,5,195
Okhla Phase III,10.3,93,990.9,4.2,202.1,206.3,1988,86.8,23,1,2,5,196
Rohini,8.7,97,991.4,5.7,167.6,170.4,1372,35.3,0,1,2,5,197
Rohini,8.2,97,990.8,4.8,163.0,165.8,1306,27.3,1,1,2,5,197
Rohini,7.3,98,990.4,5.4,157.9,160.7,1262,21.0,2,1,2,5,197
Rohini,7.8,98,990.4,6.4,151.8,154.6,1246,17.0,3,1,2,5,196
Rohini,7.9,98,990.3,8.1,146.7,149.5,1253,14.6,4,1,2,5,196
Rohini,8.2,98,990.5,9.1,147.1,149.9,1291,15.3,5,1,2,5,196
Rohini,8.1,98,991.4,7.9,143.4,146.7,1396,19.6,6,1,2,5,196
Rohini,7.9,98,991.7,7.2,146.7,150.4,1532,25.4,7,1,2,5,196
Rohini,9.3,95,992.8,10.2,148.1,151.8,1599,28.4,8,1,2,5,196
Rohini,11.1,90,993.6,7.3,149.5,152.7,1535,26.2,9,1,2,5,196
Rohini,13.1,85,993.8,5.9,139.2,143.9,1402,21.2,10,1,2,5,197
Rohini,15.1,77,993.4,6.1,129.5,134.6,1285,17.0,11,1,2,5,197
Rohini,16.8,71,992.5,7.4,118.5,123.9,1192,13.7,12,1,2,5,197
Rohini,17.9,68,991.6,8.0,107.1,112.9,1116,11.2,13,1,2,5,197
Rohini,18.5,65,991.0,8.5,100.4,105.7,1122,12.5,14,1,2,5,197
Rohini,18.5,65,990.8,8.8,97.8,102.4,1275,20.6,15,1,2,5,197
Rohini,17.9,70,990.8,5.6,100.8,104.3,1511,32.6,16,1,2,5,197
Rohini,15.7,80,990.6,5.0,131.3,136.4,1704,50.7,17,1,2,5,197
Rohini,13.1,83,991.6,4.4,144.4,148.5,1803,55.9,18,1,2,5,197
Rohini,12.3,87,991.7,4.3,155.5,159.7,1860,63.1,19,1,2,5,196
Rohini,11.6,90,991.9,4.0,169.0,173.2,1904,68.0,20,1,2,5,196
Rohini,10.9,92,992.1,2.8,182.5,187.2,1952,68.9,21,1,2,5,196
Rohini,9.9,96,992.2,3.0,194.6,198.8,1989,67.6,22,1,2,5,196
Rohini,9.0,98,991.8,2.7,196.5,200.2,1994,64.7,23,1,2,5,197
IGI Airport,9.1,96,989.9,5.6,162.5,165.3,1424,43.5,0,1,2,5,197
IGI Airport,7.8,98,989.2,4.9,154.6,157.9,1335,33.1,1,1,2,5,196
IGI Airport,7.8,98,988.9,5.7,147.1,150.4,1271,24.6,2,1,2,5,196
IGI Airport,7.9,99,988.8,7.2,139.7,142.5,1240,18.8,3,1,2,5,195
IGI Airport,8.0,99,988.7,8.7,132.7,136.0,1236,14.9,4,1,2,5,195
IGI Airport,8.3,98,988.9,9.6,135.0,138.3,1286,15.4,5,1,2,5,195
IGI Airport,8.2,99,989.7,7.6,131.3,135.0,1455,20.7,6,1,2,5,194
IGI Airport,8.2,98,990.2,7.4,138.8,142.5,1680,27.7,7,1,2,5,194
IGI Airport,9.4,96,991.2,9.4,143.4,147.6,1796,31.6,8,1,2,5,193
IGI Airport,11.2,92,992.0,7.0,146.2,149.9,1705,29.3,9,1,2,5,194
IGI Airport,13.2,84,992.2,6.5,136.0,141.1,1505,23.9,10,1,2,5,194
IGI Airport,15.0,77,991.8,6.9,126.2,131.8,1331,19.1,11,1,2,5,194
IGI Airport,16.5,71,991.0,8.1,114.3,120.6,1204,15.0,12,1,2,5,194
IGI Airport,17.6,65,990.1,8.6,103.1,109.4,1102,11.6,13,1,2,5,194
IGI Airport,18.1,64,989.4,9.0,95.2,100.6,1092,12.9,14,1,2,5,194
IGI Airport,18.2,64,989.2,8.8,92.7,97.1,1241,22.2,15,1,2,5,194
IGI Airport,17.5,69,989.3,6.0,97.1,100.4,1482,36.1,16,1,2,5,194
IGI Airport,15.7,78,989.1,5.2,138.8,144.4,1679,61.1,17,1,2,5,194
IGI Airport,13.6,80,990.0,5.2,154.6,159.7,1772,70.8,18,1,2,5,194
IGI Airport,13.1,83,990.1,5.2,168.6,173.2,1820,84.2,19,1,2,5,194
IGI Airport,12.2,86,990.3,3.8,182.5,186.7,1867,93.2,20,1,2,5,194
IGI Airport,11.3,89,990.6,3.8,196.0,200.2,1943,94.8,21,1,2,5,194
IGI Airport,10.3,93,990.7,4.0,205.4,209.5,2017,92.1,22,1,2,5,195
IGI Airport,9.5,94,990.2,4.1,202.1,206.3,2039,86.8,23,1,2,5,196
Anand Vihar,9.6,96,993.5,4.0,189.1,192.8,2094,60.1,0,1,3,5,197
Anand Vihar,9.4,96,993.1,4.0,182.5,186.3,1948,53.9,1,1,3,5,198
Anand Vihar,9.1,97,992.7,4.5,176.5,180.2,1823,47.6,2,1,3,5,198
Anand Vihar,8.9,98,992.6,4.3,171.4,175.1,1697,40.4,3,1,3,5,199
Anand Vihar,8.6,100,992.7,5.5,167.2,170.9,1592,33.1,4,1,3,5,199
Anand Vihar,8.1,100,992.8,5.1,168.1,171.8,1624,29.7,5,1,3,5,199
Anand Vihar,9.0,100,993.5,5.3,163.0,167.2,1939,34.2,6,1,3,5,200
Anand Vihar,8.8,99,994.1,4.9,167.6,171.8,2392,40.1,7,1,3,5,201
Anand Vihar,9.5,98,995.2,5.0,171.4,175.6,2664,43.0,8,1,3,5,202
Anand Vihar,10.4,99,996.1,3.3,168.6,172.3,2582,40.3,9,1,3,5,203
Anand Vihar,12.2,96,996.4,2.8,157.9,163.0,2319,34.5,10,1,3,5,203
Anand Vihar,14.5,86,995.8,2.5,136.4,143.9,2070,29.1,11,1,3,5,204
Anand Vihar,16.6,77,994.6,3.2,111.5,121.5,1836,23.3,12,1,3,5,204
Anand Vihar,18.2,70,993.6,3.6,94.3,106.4,1618,17.9,13,1,3,5,204
